Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = LingvaNex
Text 1,s1,You may be suffering lovesickness.,Сіз махаббат дертіне шалдыққан боларсыз. ,Мүмкін сіз махаббат дертіне шалдыққан шығарсыз. ,Олардың бәрінен қанағаттандырыңызға болады.,Сіз махаббат ауруынан зардап шегуіңіз мүмкін.,Сіз сүйіспеншілікпен ауыратын шығарсыз.
Text 1,s2,Falling in love used to be fun.,Ғашық болу бұрын қызық сияқты көрінетін. ,Бұрын ғашық болу қызықты болатын.,"Сонымен қатар, біріншілік процесті айтарлықтай қиындатады.",Бұрын ғашық болу қызық болатын.,Ғашық болу көңілді болатын.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,Ал қазір дәрігерлер құштарлықтың азабы өлімге әкелу ықтималдығы бар ауру болуы мүмкін деп ескертеді. ,Енді дәрігерлер құмарлықты өлімге әкелуге мүмкін медициналық бұзылыс ретінде қарастыру керек деп ескертуде.,Содан соң облыстық әкімдікте Павлодар облысының әкімі мен митрополиттің жеке кездесуі өтті.,Қазір дәрігерлер құмарлықтың күйзелісі өлімге әкелуі мүмкін медициналық ауру ретінде қарастырылуы керек деп ескертеді.,Қазір дәрігерлер құмарлықтың кесірін өлімге әкелетін медициналық ауру ретінде қарау керек деп ескертеді.
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","Психологтардың айтуынша ""махаббат дерті"" нағыз дерт және оны толық біліп зерттеу керек. ","Психологтардың айтуынша, ""махаббат дерті"" бұл ауыр дерт ол көбірек хабардарлық пен диагнозды қажет етеді. ","Психологтар ""Ловесикоз"" бұл көптеген белсенділік және диагноз қажет.","Психологтар ""махаббат құмарлық"" бұл көбірек хабардар болуды және диагностиканы қажет ететін шынайы ауру екенін айтады.","Психологтар ""қозғау"" бұл көбірек хабардарлық пен диагнозды қажет ететін шынайы ауру дейді."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","Әдетте алғашқы махаббаттың белгісі болып көрінетін шағын әрекеттер, мысалы сыйлық сатып алу, телефон қоңырауын күту немесе кездесу алдында дайындалу алдағы терең проблемалардың белгісі болуы мүмкін.","Әдетте махаббаттың алғашқы толқынының белгілері ретінде қарастырылатын кішкентай әрекеттер, сыйлықтар сатып алу, телефон қоңырауын күту немесе кездесу үшін күш салу болашақта терең проблемалардың белгілері болуы мүмкін.","Бұдан басқа, ""Кристалл Менеджмент"" АҚ көмірсутегі шикізатының перспективалық блогы бойынша іздестіру жұмыстарын Оңтүстік Торғай алқабында жүргізеді.","Әдетте махаббаттың алғашқы ағынының белгілері ретінде қарастырылатын кішкентай әрекеттер, сыйлықтар сатып алу, телефон қоңырауын күту немесе кездесуге дейін біраз күш салу, шын мәнінде, болашақта тамыры терең проблемалардың белгілері болуы мүмкін.","Әдетте сүйіспеншіліктің алғашқы ағымының белгілері ретінде көрінетін кішкентай әрекеттер, сыйлықтар сатып алу, телефон арқылы қоңырау күту немесе белгілі бір уақытқа дейін біраз күш салу, шын мәнінде, терең проблемалардың белгілері болуы мүмкін."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.",Лондондағы клиникалық психолог Фрэнк Таллис махаббатқа және психикалық ауруларға деген көзқарастың тарихын зерттеген. ,Лондондағы клиникалық психолог Фрэнк Таллис махаббат пен психикалық ауруларға деген тарихи көзқарастарды зерттеді.,"Фрэнк Таллис, Лондонда клиникалық психолог, романтикалық және психикалық болатыны менің ата-бабаларымызды айтады.",Лондондағы клиникалық психолог Фрэнк Таллис махаббат пен психикалық ауруға деген тарихи көзқарасты зерттеді.,Лондондағы клиникалық психолог Фрэнк Таллис махаббат пен психикалық ауруға деген тарихи көзқарасты зерттеді.
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.",18 ғасырдың алдында мыңдаған жылдар бойы махаббат дерті кәдімгі ауру болып саналған. ,18 ғасырға дейін мыңдаған жылдар бойы махаббат дерті жалпыға бірдей танылған ауру болып саналды.,"18 ғасырда, соңына дейін 1000 жылға дейін ата-аналармен таныстырды.",18 ғасырға дейін махаббат ауруы мыңдаған жылдар бойы белгілі ауру ретінде қабылданды.,18 ғасырға дейін сүйіспеншілік мыңдаған жылдар бойы танылған ауру болып келді.
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.","Алайда соңғы 200 жылда, Таллистің The Psychologist журналында жариялаған есебіне сәйкес, дәрігерлер бұны дұрыс қойылмаған диагноз деген тұжырымға келді. ","Психолог журналындағы баяндамасында доктор Таллисты айтуы бойынша, соңғы 200 жылда бұл дәрігерлер арасында шынайы диагноз ретінде қарастырылмады. ",Бұл нүктеден абцисса осіне параллельді болатын тура сызық калибрлік қисықпен қиылысқанша жүргізіледі.,"Бірақ соңғы 200 жылда бұл дұрыс диагноз ретінде дәрігерлердің көңілінен шықты, деді доктор Таллис The Psychologist журналындағы баяндамасында.",Бірақ соңғы 200 жыл ішінде бұл диагнозды дұрыс диагноз ретінде дәрігер-Таллис Психолог журналындағы баяндамасында айтқан.
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Таллистің айтуынша, қазіргі замандағы зерттеулерге сәйкес, махаббат дертінің салдарын заманауи диагностикалық терминдермен сипаттауға болады. ","Доктор Таллистің айтуынша, қазіргі зерттеулер махаббат дертіне шалдығудың салдары соңғы диагностикалық тұрғыдан сипатталуы мүмкін екенін көрсетеді. ",Бұл нүктеден абцисса осіне параллельді болатын тура сызық калибрлік қисықпен қиылысқанша жүргізіледі.,Доктор Таллис заманауи зерттеулер махаббат ауруының салдарын соңғы диагностикалық терминдермен сипаттауға болатынын айтты.,Доктор Таллис қазіргі заманғы зерттеулер сүйіспеншілікке толы болудың салдарын соңғы диагностикалық терминдерде сипаттауға болатындығын айтты.
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.","Оның белгілері әуестенуді, мысалы көтеріңкі көңіл күйді, өзін асыра жоғары бағалауды, немесе жылауықтықпен және ұйқысыздықпен бірге келетін депрессияны қамтуы мүмкін.",Симптомдарға көңіл-күй мен өзін-өзі бағалаудың жоғарылауы сияқты құмартулар немесе жылау мен ұйқысыздық түрінде көрінетін депрессия кіруі мүмкін.,"Бұдан басқа, бұл ғимаратта А класты бизнес орталықтарына сай басқа да ерекшеліктер бар.",Симптомдарға көңіл-күйдің көтерілуі және өзін-өзі бағалаудың жоғарылауы немесе көз жасы мен ұйқысыздық ретінде көрінетін депрессия сияқты мания болуы мүмкін.,"Симптомдарға мания кіруі мүмкін, мысалы, көңіл-күйдің жоғарылауы және өзін-өзі бағалаудың жоғарылауы немесе депрессия, өзін жастық пен ұйқысыздық ретінде көрсетеді."
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,Журналистика жылдар бойы бізге оқиғалар немесе жағдайлар өздігінен маңызды бола бермейтінін үйретіп келеді. ,Жылдар бойы журналистикада оқиғалардың өз бетімен маңызды еместігін түсінесің. ,"Жазушы, кинодокументалист және журналист ретінде Доқтырхан Тұрлыбектің есімі республика жұртшылығына кеңінен танымал.",Журналистиканың сізге жылдар бойы үйрететін бір нәрсесі - оқиғалар немесе оқиғалар өздігінен маңызды емес.,Журналистика сізге жылдар бойы үйрететін нәрсе - оқиғалар немесе оқиғалар өздігінен сирек маңызды болып табылады.
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,Олар тек жалпы болжамдарға және үрдіске сай болған кезде ғана белгілі бір мәнге ие болады. ,Олар жалпы болжамдар мен тенденцияларға сәйкес келегенде ғана мағынаға ие болады. ,Содан соң облыстық әкімдікте Павлодар облысының әкімі мен митрополиттің жеке кездесуі өтті.,Дәл олар жалпы болжамдар мен тенденцияларға сәйкес келгенде мағынаға ие болады.,"Дәл сол кезде олар жалпы болжамдар мен тенденцияларға сәйкес келеді, олар мағынаны алады."
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"Жаһандану қаржыгер үшін жақсы болғанымен, төмен бағалы импорттың салдарынан шығынға ұшыраған фермерге немесе жұмысын Бангалордағы операция алмастырған қарапайым жұмысшы үшін ешбір пайдасы жоқ.","Жаһандану қаржыгер үшін жақсы болғанымен, бірақ арзан импортқа ұшыраған фермерге немесе жаңа ғана Бангалордағы операцияның әсерінен жұмыссыз қалған жұмысшыға онша жағымды емес.","Біздің халықтың болмысы ізгілікке толы, қашанда ертеңнен күткені жақсылық.","Жаһандану қаржыгер үшін жақсы, бірақ құны төмен импортпен жойылған фермерге немесе жұмысы Бангалордағы операциямен ауыстырылған жұмысшыға бұл соншалықты жақсы емес.","Жаһандану қаржыгер үшін жақсы, бірақ фермерге арзан бағамен импортталған немесе жұмысы Бангалордағы операциямен ауыстырылған жұмысшы үшін онша жақсы емес."
Text 2,s4,And the same is happening to China now.,Дәл осындай жағдай қазір Қытайда орын алып жатыр. ,Дәл қазір Қытайда да солай болып жатыр. ,"Бұдан басқа, бұл ғимаратта А класты бизнес орталықтарына сай басқа да ерекшеліктер бар.",Қазір Қытайда да солай болып жатыр.,Қазір Қытайда да солай болып жатыр.
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.","Сыншылары Қытай өз өніміне қатысты туындап жатқан жанжалдардың салдарынан сәтсіздікке ұшырауын қалағанымен, бұның орын алуы екіталай. ","Қаскөйлердің тілектеріне қарамастан, Қытайдың өзінің тауарларына қатысты бірқатар дау-дамайлардың кесірінен бұл сынақтан құлауының екіталай екінің мойындау керек. ","Бұдан басқа, Кристалл Менеджмент АҚ көмірсутегі шикізатының перспективалық блогы бойынша іздестіру жұмыстарын Оңтүстік Торғай алқабында жүргізеді.","Оның сыншылары Қытайдың өз өнімдеріне қатысты көптеген жанжалдар арқылы осы кедергіден құлағанын қалайтын болса да, оның болуы екіталай екенін айту керек.","Сыншылар Қытайдың өз өнімдеріне қатысты бірқатар жанжалдарға түсіп кетуін қалауы мүмкін болса да, оның болуы екіталай деп айту керек."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.","Жағымсыз жаңалықтар легі тұтынушылық сұранысты уақытша бәсеңдетуі, тіпті кейбір бөлшек сауда компанияларын Азиядан жеткізуші іздеуден айнытуы да мүмкін, бірақ кең ауқымда Қытай өндірісін тоқтатуға бұның әсері жоқтың қасы. ","Жағымсыз жаңалықтардың ағыны тұтынушылық сұраныстың өсуін уақытша бәсендетуі және кейбір бөлшек сауда компанияларын Азиядағы жеткізушілерді таңдау туралы шешімдерін қайта қарауға мәжбүр етуі мүмкін, бірақ кең ауқымда бұл Қытайдағы өндірістің кеңеюіне кедергі келтірмейді.","Бұдан басқа, Кристалл Менеджмент АҚ көмірсутегі шикізатының перспективалық блогы бойынша іздестіру жұмыстарын Оңтүстік Торғай алқабында жүргізеді.","Жағымсыз жаңалықтардың асқынуы тұтынушылық сұраныстың өсуін уақытша бәсеңдетуі мүмкін және тіпті кейбір бөлшек сауда компанияларын Азиядағы ресурстарды сатып алу туралы екінші ойға итермелеуі мүмкін, бірақ кеңірек кезеңде бұл Қытайдың өндірісінің өсуін тоқтатуға аз әсер етеді.","Жаман жаңалықтардың асығуы тұтынушылық сұраныстың өсуін уақытша бәсеңдетуі мүмкін, тіпті кейбір бөлшек сауда компанияларын Азияда іздеу туралы екінші ойға көндіруі мүмкін, бірақ кең сатыда Қытайдың өндіріс өсуін тоқтату үшін аз жұмыс жасайды."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","Батыс елдері көбінесе бұл жерге киім мен ойыншық сатып алуға келеді, ал Азия елдерін араласаңыз, оның барлық дүкендері Қытайда жасалған тұрмыстық техникаға толы екенін көресіз. ","Батыс негізінен қытайлық киім - кешек пен ойыншықтарды тұтынады, алайда Азияны аралып шықсақ, Қытайда жасалған тұрмыстық техниканы әр дүкеннен табуға болады.","Одан бөлек, команда құрамында Еуропа Лигасының тізіміне ілінбеген футболшылар бар.","Батыс ол жаққа әсіресе киім-кешек пен ойыншықтар үшін барады, бірақ Азияны айналып өтіп, әрбір дүкен қытайлық ақ бұйымдарға толы.","Батыс бұл жерде әсіресе киім мен ойыншықтарға барады, бірақ Азияны айналып өтеді және әр дүкен қытайлық ақ түсті бұйымдарға толы."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,"Жапонияның тәжірибесін қайталап, өзінің табандылығының арқасында, бұл ел де нарығын жоғарылатып келеді. ",Ел бұған дейінгі Жапония сияқты мақсатқа бағытталған табандылықпен нарықта жоғары орынға ие болуда. ,Содан соң облыстық әкімдікте Павлодар облысының әкімі мен митрополиттің жеке кездесуі өтті.,Бұрынғы Жапония сияқты - және осындай бірбеткей шешімділікпен - ел жоғары деңгейге көтерілуде.,Бұрынғыдай Жапония сияқты - және бір көзқараста - ел жоғары нарыққа көшуде.
Text 2,s9,"Next will come cars, engines and aircraft.","Ендігі кезек автокөліктерде, қозғалтқыштарда және ұшақтарда.","Келесі кезекте автомобильдер, қозғалтқыштар мен ұшақтар тұр.","Өйткені, машиналар, машиналар және машиналар бар.","Одан кейін автомобильдер, қозғалтқыштар мен ұшақтар келеді.","Әрі қарай автомобильдер, қозғалтқыштар мен ұшақтар келеді."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,"Зерттеушілер Леонардо да Винчидің жасырын зертханасын тапты, бұл жерде ұшуды және басқа жаңашыл ғылыми жұмыстарды зерттеген. ",Зерттеушілер Леонардо да Винчи ұшуды және басқа да инновациялық ғылыми жұмыстарды зерттеу үшін пайдаланған жасырын зертхананы тапты. ,"Одан бөлек, команда құрамында Еуропа Лигасының тізіміне ілінбеген футболшылар бар.",Зерттеушілер Леонардо да Винчи ұшуды зерттеу және басқа да жаңашыл ғылыми жұмыстар үшін пайдаланған жасырын зертхананы тапты.,Зерттеушілер Леонардо Да Винчидің ұшуды және басқа да алғашқы ғылыми жұмыстарды зерттеу үшін қолданған жасырын зертханасын ашты.
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","Әскери география институты мен Базилика арасында орналасқан шеберханаларда Леонардо салған фрескалар бар, олар оның басқа да тәжірибелік жұмыстарының үлгілеріне ""қатты ұқсас"". ","Әскери география институты мен базилика арасында орналасқан шеберханаларда Леонардо салған фрескалар табылды. Олар оның тәжірибе жұмыстарының басқа мысалдарына ""қатты ұқсайды"". ","Қаладағы төтенше жағдай жолаушылар пойыздарының кестесіне де әсер етті, оның ішінде халықаралық пойыздар бар.","Әскери география институты мен насыбайгүлдің арасында орналасқан шеберхана бөлмелерінде Леонардо салған фрескалар оның эксперименттік жұмысының басқа үлгілеріне ""әсерлі ұқсастықтары"" бар.","Әскери география институты мен Базиликаның арасында орналасқан шеберханаларда Леонардо суреттеген фрескалар бар, олар оның эксперименттік жұмысының басқа мысалдарына ""әсерлі ұқсайды""."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.","Леонардо бұл бөлмелерді пайдаланғаны туралы Пьетро ди Новеллара өз хаттарында жазған және ол сөздерді Джорджо Вазари де өзінің 16 ғасырдағы ""Суретшілер өмірі"" атты биографиясында келтірген.","Леонардоның бұл бөлмелерді пайдалануы Пьетро ди Новеллара жазған хаттарда айтылған және оларды Джорджио Васари өзінің 16-шы ғасырдағы ""Суретшілердің, мүсіншілердің және сәулетшілердің өмірі"" атты өмірбаянында келтірген.","Леонардоның кітабының пайдалануы Пьетро ди Новеллараның пікірлерімен айтты, а Giorgio Vasari оның 16 қарашада биографиясы ""Жеңістіктесі"" (Lives of the Artists) туралы айтты.","Леонардоның бөлмелерді пайдаланғаны туралы Пьетро ди Новеллара жазған хаттарда айтылған және оларды Джорджио Васари өзінің 16 ғасырдағы ""Суретшілердің өмірі"" өмірбаянында келтірген.","Леонардоның бөлмелерді пайдалануы Пьетро ди Новеллараның хаттарында айтылған және оларды Джорджио Васари өзінің 16-ғасырдағы өмірбаянында, ""Суретшілердің өмірлерінде"" келтірген."
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","""Бұл табылған заттар өте қызық, өйткені олар бізге Леонардо 500 жыл бұрын осы бөлмелерде қалай жұмыс істегенін түсінуге мүмкіндік береді"", – дейді Леонардо зерттеушісі, профессор Алессандро Веццози. ","Леонардо жөніндегі сарапшы, профессор Алессандро Веззоси:"" Табылған заттар өте маңызды, өйткені олар Леонардоның осыдан 500 жыл бұрын осы бөлмелерде қалай жұмыс істегенінің түсінуге көмектеседі"", - деді. ","""Жеңіске үлес қосқандар"", ""Аққан жұлдыз"", ""Дала дауысы"" кітаптарының авторы.","Леонардо ғалымы, профессор Алессандро Веццоси: ""Табылған заттар әсіресе қызықты, өйткені олар Леонардо осы бөлмелерде осыдан 500 жыл бұрын жұмыс істеген контекстті түсінуге көмектеседі"", - деді.","""Түптерлер әсіресе қызықты, өйткені олар бізге Леонардоның осы бөлмелерде 500 жыл бұрын жұмыс істеген контекстін түсінуге көмектеседі"", - деді профессор Алессандро Везцоси, Леонардо ғалымы.∂ƒ
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","Тоскананың тумасы ғалым, суретші, философ, ақын көп жыл бойы Миланда тұрып, танымалдылыққа ие болып, ұзақ уақыт бойы саяхаттап, 1503 жылы Флоренцияға оралған кезінде 51 жаста болған. ","Көптеген жылдарға созылған саяхаттар мен өз беделіне ие болған Миландағы өмірінен кейін, Тосканада дүниеге келген ғалым, суретші, философ және ақын 1503 жылы Флоренцияға оралғанда 51 жаста еді. ","Математика мен физика пәндерінен жеңімпаз аталғандар: дарынды балаларға арналған No8 лицей-мектебінің 8 сынып оқушылары Уколов Иван және Драганчук Антон, ІІ дәрежелі дипломға дарынды балаларға арналған No8 лицей-мектебінің 7, 8 сынып оқушылары Лим Владимир, Рахимжанов Динмухамед, Укибаев Ануар ие болды.","Тоскандық ғалым, суретші, философ және ақын 1503 жылы Миланда көп жылдардан кейін Флоренцияға оралған кезде 51 жаста болды, онда ол өзінің беделін қалыптастырды және ұзақ сапар кезеңінен кейін.","Тосканнан шыққан ғалым, суретші, философ және ақын 51 жаста, ол Миланда ұзақ жылдар өткеннен кейін 1503 жылы Флоренцияға оралғанда, ол өзінің беделін орнатқан, және ұзақ сапар мерзімі."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,"Ол алғаш рет Флоренцияда 17 жасында келіп, суретшілер гильдиясының мүшесі болды. ",Оның Флоренциядағы өмірі алғаш рет ол 17 жаста болғанда және ол суретшілер гильдиясының мүшесі болғанда басталды. ,"Флоренцияда оның бірінші мағынасы 17 жылдан бастап болды, оның ішінде Gilda dei Pintori АҚШ-та орналасқан.",Оның Флоренциядағы алғашқы заклинаниясы 17 жасында болды және суретшілер гильдиясының мүшесі болды.,Оның Флоренциядағы алғашқы закымы 17 жасында келді және суретшілер гильдиясының мүшесі болды.
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,"Ол 16 ғасырда монастырьдің діни адамдарға жалға берілетін қонақ бөлме бөлігінде орналасқан, Серви ди Мария орденінің монахтары басқарған діни үйдегі бөлмелерді жалға алған. ","Ол 16 ғасырда жалға алған бөлмелер Серви Ди Мария орденінің монахтары басқаратын діни үйде, монастырьдің қарапайым адамдарға бөлме ретінде жалға беруге арналған бөлігінде болды.",XVIII ғ. екінші жартысында Хиуада Қоңырат династиясыньщ орнауы.,"Ол 16 ғасырда алған бөлмелер монастырдың бір бөлігінде Серви ди Марияның бұйрығымен монахтар басқаратын діни үйде болды, адамдарды қонақ бөлмелері ретінде жалға беру үшін.","Ол 16 ғасырда қабылдаған бөлмелер Серви-ди-Мария бұйрығымен монахтар басқаратын діни үйде болды, монастырь жалға алуға бөлінген бөлігінде адамдарды қонақ бөлмесі ретінде орналастырыңыз."
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,Кейін осы монастырьде тұрған басқа да танымал тұлғалардың арасында Андреа дель Сарто және Франчабиджо да болды. ,Кейінірек сол монастырға қоныстанған басқа танымал тұлғалардың қатарына Андреа дель Сарто мен Франчабиджо кірді. ,"Қазіргі уақытта, аналық монастырдың еңбегі Андреа дель Сарто және Франциабиджио бар.",Кейінірек сол монастырда тұратын басқа да көрнекті тұлғаларға Андреа дель Сарто мен Франсиабиджо кірді.,Сол монастырда тұруға болатын басқа көрнекті тұлғаларға Андреа-дель-Сарто мен Франсиабигио кірді.
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,Леонардо екінші рет Флоренцияға келгенде үш жыл тұрды.,Леонардоның Флоренцияда екінші рет өмір сүруі үш жылға созылған еді.,Леонардоның Флоренцияда екі жылды құрайды.,Леонардоның Флоренциядағы екінші сапары үш жылға созылады.,Леонардоның Флоренциядағы екінші келуі үш жылға созылады.