Text No.,Sentence No.,English source,Professional translation,Student translation,MT0 = M2M100 1.2B,MT1 = Google Translate,MT2 = <DeepL>
Text 1,s1,You may be suffering lovesickness.,Kara sevdaya yakalanmış olabilirsiniz. ,Kara sevdaya tutulmuş olabilirsiniz.,Belki aşk acı çekiyorsunuzdur.,Aşk acısı çekiyor olabilirsiniz.,Aşk acısı çekiyor olabilirsiniz.
Text 1,s2,Falling in love used to be fun.,Eskiden âşık olmak eğlenceliydi. ,Aşık olmak eskiden eğlenceli bir şeydi.,Aşık olmak eskiden çok eğlenceliydi.,Aşık olmak eskiden eğlenceliydi.,Aşık olmak eskiden eğlenceliydi.
Text 1,s3,Now doctors are warning that the throes of passion should be seen as a potentially fatal medical disorder.,"Günümüzde ise doktorlar, tutkuyla kıvranmanın ölümcül bir tıbbi bozukluk olabileceği konusunda bizleri uyarıyor. ","Şimdiyse doktorlar, aşırı tutkunun ölüm riski taşıyan bir hastalık olarak görülebileceği konusunda uyarıyor.","Şimdi doktorlar, tutkuların şiddetinin potansiyel olarak ölümcül bir tıbbi bozukluk olarak görülmesi gerektiğini uyarıyor.","Şimdi doktorlar, tutku sancılarının potansiyel olarak ölümcül bir tıbbi hastalık olarak görülmesi gerektiği konusunda uyarıyorlar.","Şimdi doktorlar, tutku sancılarının potansiyel olarak ölümcül bir tıbbi bozukluk olarak görülmesi gerektiği konusunda uyarıyor."
Text 1,s4,"Psychologists say that ""lovesickness"" is a genuine disease that needs more awareness and diagnosis.","Psikologlara göre ""kara sevda"" daha fazla farkındalığa ve teşhise ihtiyaç duyan gerçek bir hastalık. ","Psikologlara göre, “kara sevda” farkına varılması ve teşhis edilmesi gereken gerçek bir hastalık.",Psikologlar “aşk hastalığı”nın daha fazla farkındalık ve teşhis gerektiren gerçek bir hastalık olduğunu söylüyorlar.,"Psikologlar, ""aşk acısı"" nın daha fazla farkındalık ve teşhis gerektiren gerçek bir hastalık olduğunu söylüyor.","Psikologlar ""aşk hastalığının"" daha fazla farkındalık ve teşhis gerektiren gerçek bir hastalık olduğunu söylüyor."
Text 1,s5,"And those little actions that are normally seen as symptoms of the first flush of love, buying presents, waiting by the phone for a call or making a bit of an effort before a date, may actually be signs of deep-rooted problems to come.","Hediyeler almak, telefonun başında beklemek veya bir randevu öncesi üstümüze başımıza çekidüzen vermek gibi normalde âşkın ilk belirtileri olarak görülen eylemler, yaklaşan derin sorunların habercisi olabilir.","Ayrıca, hediye almak, telefonun başında aranmayı beklemek veya buluşmadan önce az da olsa çaba sarf etmek gibi normalde aşkın ilk belirtileri olarak görülen hareketler, kişinin derinliklerinde yatan sorunların ortaya çıkacağının göstergesi de olabilir.","Ve normalde ilk aşk kokusunun semptomları olarak görülen bu küçük eylemler, hediyeler satın almak, bir çağrı için telefon beklemek veya bir tarihten önce biraz çaba harcamak, aslında gelmekte olan derin sorunların belirtileri olabilir.","Ve normalde ilk aşk patlaması olarak görülen o küçük hareketler, hediye almak, telefon başında arama beklemek veya bir randevu öncesi biraz çaba göstermek, aslında ileride yaşanacak köklü sorunların işareti olabilir.","Ve normalde aşkın ilk heyecanının belirtileri olarak görülen küçük eylemler, hediye almak, telefonun başında aranmayı beklemek ya da bir randevudan önce biraz çaba sarf etmek, aslında köklü sorunların geleceğinin işaretleri olabilir."
Text 1,s6,"Frank Tallis, a clinical psychologist in London, examined the historical attitudes to love and mental illness.","Londralı klinik psikolog Frank Tallis, aşka ve ruhsal bozukluklara tarihsel yaklaşımı inceleyerek bulgularını The Psychologist adlı dergide yayınladı. ","Londra’da klinik psikolog olarak çalışan Frank Tallis, aşk ve akıl hastalığına ilişkin tarihte süregelen bakış açılarını inceledi. ","Londra’daki klinik psikolog Frank Tallis, aşk ve zihinsel hastalıkla ilgili tarihsel tutumları inceledi.","Londra'da bir klinik psikolog olan Frank Tallis, aşka ve akıl hastalığına karşı tarihsel tutumları inceledi.","Londra'da bir klinik psikolog olan Frank Tallis, aşk ve akıl hastalığına yönelik tarihsel tutumları inceledi."
Text 1,s7,"Before the 18th century, lovesickness had for thousands of years been accepted a recognised ailment.","Dr. Tallis'in bulgularına göre 18. yüzyıl öncesinde kara sevda, binlerce yıl boyunca bir hastalık olarak kabul edilmekteydi. ","Kara sevda, 18’inci yüzyıldan önce, binlerce yıldır bilinen bir hastalık olarak kabul ediliyordu.","18. yüzyıldan önce, aşk hastalığı binlerce yıldır tanınmış bir hastalık olarak kabul edilmişti.","18. yüzyıldan önce, aşk acısı binlerce yıldır bilinen bir hastalık olarak kabul edilmişti.","18. yüzyıldan önce, aşk hastalığı binlerce yıldır tanınan bir hastalık olarak kabul ediliyordu."
Text 1,s8,"But for the past 200 years it has been out of favour with medical practitioners as a proper diagnosis, Dr Tallis said in a report in The Psychologist magazine.",Ancak son 200 yılda doktorlar bu teşhisi koymamaya başladı. ,"Ancak Dr. Tallis, The Psychologist dergisinde yayınlanan bir raporunda, bu hastalığın uygun bir şekilde teşhis edilemediği için son 200 yıldır tıp pratisyenlerinin kapsamı dışında kaldığını belirtiyor.","Ancak son 200 yıldır tıp uzmanları tarafından doğru bir teşhis olarak tercih edilmektedir, Dr. Tallis, The Psychologist dergisinde yayınlanan bir raporda söyledi.","Ancak Dr Tallis, The Psychoologist dergisinde yayınlanan bir haberde, son 200 yıldır tıp doktorlarının uygun bir teşhis olarak gözünden düştüğünü söyledi.","Ancak Dr. Tallis, The Psychologist dergisinde yayınlanan bir raporda, son 200 yıldır tıp pratisyenleri tarafından doğru bir teşhis olarak kabul edilmediğini söyledi."
Text 1,s9,Dr Tallis said modern research suggested that the effects of being lovesick could be described in the latest diagnostic terms.,"Dr. Tallis'e göre modern araştırmalar, kara sevdanın etkilerinin en yeni teşhisler çerçevesinde açıklanabileceğini gösteriyor. ","Dr. Tallis, modern araştırmaların, kara sevdaya tutulmanın etkilerinin en son teşhis terimleriyle açıklanabileceğini öne sürdüğünü söyledi.","Dr. Tallis, modern araştırmalar, aşk hastalığının etkilerinin en son teşhis terimlerinde tarif edilebileceğini öne sürdü.","Dr Tallis, modern araştırmaların aşk hastası olmanın etkilerinin en son teşhis terimleriyle açıklanabileceğini öne sürdüğünü söyledi.","Dr. Tallis, modern araştırmaların aşk acısı çekmenin etkilerinin en son teşhis terimleriyle tanımlanabileceğini gösterdiğini söyledi."
Text 1,s10,"Symptoms can include mania, such as an elevated mood and inflated self-esteem, or depression, revealing itself as tearfulness and insomnia.",Kara sevdanın belirtileri arasında coşkulu bir ruh hâli ve artan öz güven gibi şekillerde ortaya çıkan mani veya göz yaşları ve uykusuzlukla kendini gösteren depresyon bulunabilir.,"Semptomlar arasında; cinnet, yani yoğunlaşmış ruh hali ve bayağılaşmış özgüven ya da kendini gözyaşları ve uykusuzlukla belli eden depresyon gözlemlenebilir.","Belirtiler, yüksek bir ruh hali ve şişmiş özgüven gibi manya veya depresyon içerebilir, kendisini gözyaşları ve uykusuzluk olarak ortaya çıkarır.","Semptomlar, yüksek bir ruh hali ve şişirilmiş benlik saygısı gibi maniyi veya kendisini ağlamaklılık ve uykusuzluk olarak gösteren depresyonu içerebilir.",Belirtiler arasında yüksek bir ruh hali ve şişirilmiş özgüven gibi mani veya ağlama ve uykusuzluk olarak kendini gösteren depresyon yer alabilir.
Text 2,s1,One thing that journalism teaches you over the years is that events or incidents are rarely important in themselves.,"Gazetecilik mesleğinin yıllar içerisinde size öğrettiği şeylerden biri, olayların kendi başlarına genellikle pek de önemli olmadığıdır. ",Gazeteciliğin yıllar boyunca size öğrettiği bir şey varsa o da olayların kendisinin nadiren önemli olduğudur. ,"Gazetecilik yıllar boyunca size öğrettiği bir şey, olayların ya da olayların nadiren kendileri için önemli olduklarıdır.","Gazeteciliğin yıllar içinde size öğrettiği bir şey, olayların veya hadiselerin kendi içlerinde nadiren önemli olduğudur.","Gazeteciliğin yıllar içinde size öğrettiği bir şey, olayların ya da olguların nadiren kendi başlarına önemli olduğudur."
Text 2,s2,It is when they fit in with general assumptions and trends that they take on meaning.,Olaylar ancak genel varsayımlar veya eğilimler içerisinde bir yere sahip olduklarında bir anlam kazanır. ,Olaylar genel varsayım ve trendlere uygun olduklarında anlam kazanırlar. ,Genel varsayımlara ve eğilimlere uyduğunda anlama gelirler.,Genel varsayımlara ve eğilimlere uydukları zaman anlam kazanırlar.,Genel varsayımlara ve eğilimlere uydukları zaman anlam kazanırlar.
Text 2,s3,Globalisation is fine for the financier but it doesn't feel so good to the farmer wiped out by lower-cost imports or the worker whose job has just been replaced by an operation in Bangalore.,"Küreselleşme, finansla uğraşanlar için iyi bir gelişme olsa da daha düşük maliyetli ithalatla rekabet edemeyen çiftçileri veya operasyonların Banglore'a kaymasıyla işinden olan bir işçiyi pek memnun etmeyecektir.","Küreselleşme, finansçılar için olumlu bir durumken, düşük maliyetli ithalatlar nedeniyle işini kaybeden bir çiftçi ya da işi Bangalore’daki bir işletmeye devredilen bir işçi için olumsuz bir durum olabilir.","Küreselleşme finansistler için iyidir, ancak daha düşük maliyetli ithalatlar tarafından yok edilen çiftçi ya da işinin Bangalore’daki bir operasyonla değiştirildiği işçi için bu kadar iyi hissetmiyor.","Küreselleşme, finansör için iyidir, ancak daha düşük maliyetli ithalat nedeniyle yok olan çiftçi veya Bangalore'daki bir operasyonla işi yeni değiştirilen işçi için o kadar iyi hissettirmiyor.","Küreselleşme finansörler için iyi bir şeydir, ancak daha düşük maliyetli ithalatla yok edilen çiftçi ya da işi Bangalore'daki bir operasyonla değiştirilen işçi için o kadar da iyi hissettirmez."
Text 2,s4,And the same is happening to China now.,Şu anda Çin ile ilgili olarak da benzer bir gelişme yaşanmakta. ,Çin’de şu an yaşanan şey tam olarak bu. ,Aynı şey şu anda Çin’de de oluyor.,Ve şimdi aynısı Çin'e oluyor.,Ve aynı şey şimdi Çin'e de oluyor.
Text 2,s5,"Much though its critics may wish China to fall at this hurdle by a string of scandals about its products, it has to be said that it is unlikely to happen.",Muhaliflerin çoğu ürünleriyle ilişkili skandallar sonucunda Çin'in bu engeli aşamamasını umsa da bunun gerçekleşmesi pek mümkün görünmüyor. ,"Çoğu eleştirmen, ürünleriyle ilgili yaşanan skandallar nedeniyle Çin’in bu sorunlar altında ezilmesini doğru buluyor olsa da, doğruyu söylemek gerekirse bu pek de mümkün bir şeymiş gibi görünmüyor. ","Eleştirmenler Çin'in ürünleri ile ilgili bir dizi skandal yüzünden bu engele düşmesini isteyebilse de, bunun olası olmayacağı söylenmelidir.","Eleştirmenler, Çin'in ürünleriyle ilgili bir dizi skandalla bu engele düşmesini istese de, bunun pek olası olmadığı söylenmelidir.","Her ne kadar eleştirmenler Çin'in ürünleriyle ilgili bir dizi skandalla bu engele takılmasını istese de, bunun gerçekleşme ihtimalinin düşük olduğunu söylemek gerekir."
Text 2,s6,"The rush of bad news may slow the rise in consumer demand temporarily and even persuade some retail companies to have second thoughts about sourcing in Asia, but on the wider stage it will do little to stop China's manufacturing growth.",Ardı arkası kesilmeyen olumsuz haberler müşteri talebini geçici olarak azaltsa ve hatta kimi perakende şirketlerini Asya'dan kaynak sağlamaya ilişkin kararlarını gözden geçirmeye ikna etse de bunların genel olarak Çin'de yaşanan üretim artışının durdurulması üzerindeki etkisi kayda değer olmayacaktır. ,"Haber yoluyla karalama nedeniyle tüketici talebindeki artış geçici olarak yavaşlatılabilir ve hatta bazı toptancı şirketlerin kaynaklarını Asya’dan temin ederken iki kere düşünmesine yol açılabilir, ancak daha geniş çaplı bakıldığında, bu gibi karalamaların Çin’in üretim gücüne çok da fazla etkisi olamayacağı görülebilir. ","Kötü haberlerin çabası, tüketici talebinin artışını geçici olarak yavaşlatabilir ve hatta bazı perakende şirketlerini Asya'daki kaynak alma konusunda ikinci düşünmeye ikna edebilir, ancak daha geniş bir aşamada Çin'in imalat büyümesini durdurmak için çok az şey yapacaktır.","Kötü haber akışı, tüketici talebindeki artışı geçici olarak yavaşlatabilir ve hatta bazı perakende şirketlerini Asya'da kaynak bulma konusunda ikinci kez düşünmeye ikna edebilir, ancak daha geniş bir aşamada Çin'in imalat büyümesini durdurmak için çok az şey yapacaktır.","Bu kötü haber dalgası tüketici talebindeki artışı geçici olarak yavaşlatabilir ve hatta bazı perakende şirketlerini Asya'dan tedarik konusunda bir kez daha düşünmeye ikna edebilir, ancak daha geniş bir çerçevede Çin'in üretim artışını durdurmak için çok az şey yapacaktır."
Text 2,s7,"The West goes there particularly for clothing and toys, but go round Asia and every store is full of Chinese-made white goods.","Batı, Çin'den özellikle giyim ve oyuncak alsa da Asya genelindeki ülkelere baktığımızda her mağazanın Çin malı beyaz eşyalarla dolu olduğunu görebiliriz. ","Batı, daha çok giyim ve oyuncak sektörüne yönelmiş durumdayken, Asya’nın geneline baktığınızda tüm mağazalarda tamamen Çin üretimi olan birçok beyaz eşyayla karşılaşırsınız.","Batı özellikle giysiler ve oyuncaklar için oraya gider, ancak Asya'ya gidin ve her dükkan Çin yapımı beyaz mallarla doludur.",Batı özellikle giyim ve oyuncak için oraya gidiyor ama Asya'yı dolaşın ve her mağaza Çin yapımı beyaz eşyalarla dolu.,"Batı özellikle giyim ve oyuncak için oraya gidiyor ama Asya'da dolaşın, her mağaza Çin malı beyaz eşyalarla dolu."
Text 2,s8,As with Japan before it - and with similar single-minded determination - the country is moving upmarket.,"Daha önce Japonya'nın yapmış olduğu gibi ve aynı kararlılıkla Çin, lüks ürünlere doğru yaptığı yolculuğa devam etmekte. ",Bundan önce Japonya’nın yaptığı gibi -benzer kararlılıkla- şimdi Çin de daha pahalı malların üretimine odaklanmış durumda. ,Önceki Japonya'da olduğu gibi - ve benzer tek düşünce kararlılığıyla - ülke piyasaya çıkıyor.,Ondan önceki Japonya'da olduğu gibi - ve benzer bir kararlılıkla - ülke pazarın üst sıralarına ilerliyor.,Kendisinden önce Japonya'da olduğu gibi - ve benzer bir kararlılıkla - ülke yukarıya doğru hareket ediyor.
Text 2,s9,"Next will come cars, engines and aircraft.","Beyaz eşyayı arabalar, motorlar ve uçaklar takip edecektir.","Gelecekte arabaları, motorları ve uzay araçlarını da görüyor olacağız.","Ardından araçlar, motorlar ve uçaklar gelecek.","Ardından arabalar, motorlar ve uçaklar gelecek.","Daha sonra arabalar, motorlar ve uçaklar gelecek."
Text 3,s1,Researchers have discovered the hidden laboratory used by Leonardo da Vinci for studies of flight and other pioneering scientific work.,Araştırmacılar Leonardo da Vinci'nin uçuş ve diğer öncü bilimsel çalışmaları için kullandığı gizli laboratuvarı keşfetti. ,"Araştırmacılar, Leonardo da Vinci’nin uçuş ve diğer öncü bilim çalışmalarında kullandığı gizli laboratuvarı keşfetti.","Araştırmacılar, Leonardo da Vinci'nin uçuş çalışmaları ve diğer öncü bilimsel çalışmalar için kullandığı gizli laboratuvarı keşfetti.","Araştırmacılar, Leonardo da Vinci'nin uçuş çalışmaları ve diğer öncü bilimsel çalışmalar için kullandığı gizli laboratuvarı keşfettiler.","Araştırmacılar, Leonardo da Vinci'nin uçuş çalışmaları ve diğer öncü bilimsel çalışmalar için kullandığı gizli laboratuvarı keşfetti."
Text 3,s2,"The workshop rooms, located between the Institute for Military Geography and the Basilica, contain frescos painted by Leonardo that have ""impressive resemblances"" to other examples of his experimental work.","Askerî Coğrafya Kurumu ve Bazilika arasında yer alan atölye odalarında, Leonardo'nun diğer deneysel çalışmalarına ""etkileyici derecede benzeyen"" ve sanatçının elinden çıkmış olan freskler yer almakta. ","Askeri Coğrafya Enstitüsü ve Bazilika arasında yer alan atölyelerde, Leonardo’nun deneysel çalışmalarının diğer örnekleriyle “etkileyici benzerlikler” taşıyan, Leonardo tarafından çizilmiş duvar resimleri yer alıyor.","Askeri coğrafya Enstitüsü ile Basilika arasında yer alan atölye odaları, Leonardo’nun deneysel çalışmalarının diğer örneklerine “gizli benzerlikleri” olan freskleri içerir.","Askeri Coğrafya Enstitüsü ile Bazilika arasında yer alan atölye odaları, Leonardo'nun yaptığı deneysel çalışmalarının diğer örnekleriyle ""etkileyici benzerlikler"" gösteren freskler içeriyor.","Askeri Coğrafya Enstitüsü ile Bazilika arasında yer alan atölye odaları, Leonardo'nun deneysel çalışmalarının diğer örnekleriyle ""etkileyici benzerlikler"" taşıyan fresklerini içeriyor."
Text 3,s3,"Leonardo's use of the rooms was referred to in letters written by Pietro di Novellara and they were cited by Giorgio Vasari in his 16th-century biography, Lives of the Artists.","Leonardo'nun bu odaları kullandığından Pietro di Novellara'nın yazdığı mektuplarda ve Giorgio Vasari tarafından 16. yüzyılda yazılmış olan ""Sanatçıların Hayatları"" adlı biyografide de bahsedildiğini görüyoruz.",Leonardo’nun atölyeleri kullanışına Pietro di Novellara tarafından yazılmış mektuplarda atıfta bulunuldu ve Giorgio Vasari’nin 16.yüzyılda kaleme aldığı Sanatçıların Yaşamları adlı biyografisinde alıntılandı.,"Leonardo'nun odaların kullanımı Pietro di Novellara'nın yazdığı mektuplarda belirtildi ve Giorgio Vasari'nin 16. yüzyıl biyografisinde, Sanatçının Yaşamları'nda belirtildi.",Leonardo'nun odaları kullanımına Pietro di Novellara tarafından yazılan mektuplarda atıfta bulunulmuştur ve Giorgio Vasari tarafından 16. yüzyıl biyografisi Lives of the Artists'de alıntılanmıştır.,Leonardo'nun odaları kullanımına Pietro di Novellara tarafından yazılan mektuplarda atıfta bulunulmuş ve Giorgio Vasari tarafından 16. yüzyıl biyografisi Sanatçıların Yaşamları'nda bu odalardan bahsedilmiştir.
Text 3,s4,"""The finds are particularly interesting as they will help us to understand the context in which Leonardo was working in these rooms exactly 500 years ago,"" said Professor Alessandro Vezzosi, a Leonardo scholar.","Leonardo'nun çalışmaları üzerinde uzmanlaşan Profesör Alessandro Vezzosi şunları söyledi: ""Bulgular Leonardo'nun bu odalarda tam 500 yıl önce nasıl çalıştığını göstererek bağlamı anlamamıza yardımcı olduğu için özellikle önem taşıyor"". ","Leonardo akademisyeni Profesör Alessandro Vezzosi, “Bu bulgular, Leonardo’nun tam olarak 500 yıl önce bu atölyelerde yapmış olduğu çalışmaların bağlamını anlamamıza yardımcı olacağı için ilgi odağı konumundadır” dedi. ","""Bu bulgular özellikle ilginçtir, çünkü Leonardo'nun tam 500 yıl önce bu odalarda çalıştığı bağlamı anlamamıza yardımcı olacaktır,"" diyor Leonardo'nun bir bilim adamı olan profesör Alessandro Vezzosi.","Leonardo uzmanı Profesör Alessandro Vezzosi, ""Bulgular, Leonardo'nun tam 500 yıl önce bu odalarda çalıştığı bağlamı anlamamıza yardımcı olacağı için özellikle ilginç"" dedi.","Leonardo uzmanı Profesör Alessandro Vezzosi, ""Buluntular, Leonardo'nun tam 500 yıl önce bu odalarda çalıştığı bağlamı anlamamıza yardımcı olacağı için özellikle ilginç"" dedi."
Text 3,s5,"The Tuscan-born scientist, painter, philosopher and poet was aged 51 when he returned to Florence in 1503 after many years in Milan, where he already had established his reputation, and a period of extended travel.","Toskana'da doğan bilim insanı, ressam, filozof ve şair, büyük bir itibara sahip olduğu Milano'da ve uzun yolculuklarla geçirdiği yılların ardından 51 yaşındayken 1503 yılında Floransa'ya geri döndü. ","Toksana doğumlu bilim adamı, ressam, filozof ve şair, ününü kazandığı Milano’da yıllarca yaşadıktan ve uzun bir seyahat dönemi geçirdikten sonra, 1503 yılında Floransa’ya geri döndüğünde 51 yaşındaydı.","Toskana doğumlu bilim adamı, ressam, felsefeci ve şair, 1503 yılında Milan’da uzun yıllar geçirdikten sonra Floransa’ya döndüğünde 51 yaşındaydı.","Toskana doğumlu bilim adamı, ressam, filozof ve şair, ününü kazandığı Milano'da uzun yıllar ve uzun bir seyahat döneminden sonra 1503'te Floransa'ya döndüğünde 51 yaşındaydı.","Toskana doğumlu bilim adamı, ressam, filozof ve şair, ün kazandığı Milano'da geçirdiği uzun yıllar ve uzun bir seyahat döneminin ardından 1503 yılında Floransa'ya döndüğünde 51 yaşındaydı."
Text 3,s6,His first spell in Florence came when he was 17 and became a member of the painters' guild.,İlk olarak Floransa'da 17 yaşında ressamlar loncasına kabul edilerek dikkatleri üzerine çekmişti. ,Adını ilk duyurduğu ve ressamlar loncasına üye olduğu sırada Floransa’da yaşayan 17 yaşında bir gençti.,Floransa'da ilk büyüsü 17 yaşındayken ortaya çıktı ve ressamların jüri üyesi oldu.,Floransa'daki ilk büyüsü 17 yaşındayken geldi ve ressamlar loncasının bir üyesi oldu.,Floransa'da ilk kez 17 yaşındayken ressamlar loncasına üye oldu.
Text 3,s7,The rooms he took in the 16th century were in a religious house run by monks from the order of the Servi di Maria in a part of the monastery set aside for renting to lay people as guestrooms.,"16. yüzyılda kullanmaya başladığı odalar, Servi di Maria tarikatından keşişler tarafından işletilen dinî bir evde yer almaktaydı. Manastırın bir kanadında yer alan bu odalar, sıradan insanlara konaklama amaçlı kiralanmak üzere ayrılmıştı. ","16.yüzyılda çalıştığı atölyeler, manastırın içinde bulunan Servi di Maria tarikatının keşişleri tarafından işletilen dini bir evdeki kiralanmak üzere ayrılmış olan misafir odalarından birkaçıydı.","16. yüzyılda ele geçirdiği odalar, Servi di Maria emrinden rahipler tarafından işletilen bir dini evde, manastırın bir bölümünde, misafir odaları olarak layıklara kiralamak için ayrılmıştır.","16. yüzyılda aldığı odalar, manastırın insanları misafir odası olarak kiralamak için kiraya ayrılan bir bölümünde, Servi di Maria tarikatına bağlı rahipler tarafından yönetilen bir dini evde bulunuyordu.","Onun 16. yüzyılda tuttuğu odalar, Servi di Maria tarikatından keşişler tarafından işletilen bir dini evde, manastırın meslekten olmayan kişilere misafir odası olarak kiralanmak üzere ayrılmış bir bölümündeydi."
Text 3,s8,Other notable figures who would take accommodation in the same monastery later included Andrea del Sarto and Franciabigio.,Aynı manastırda kalan diğer ünlü isimler arasında Andrea del Sarto ve Franciabigio da yer almaktaydı. ,Takip eden yıllarda aynı manastırda konaklayacak olan diğer önemli isimler arasında Andrea del Sarto ve Franciabigio da yer alacaktı.,Daha sonra aynı manastırda konaklayacak diğer önemli kişiler Andrea del Sarto ve Franciabigio'yu içeriyordu.,Daha sonra aynı manastırda kalacak olan diğer önemli isimler arasında Andrea del Sarto ve Franciabigio vardı.,Daha sonra aynı manastırda konaklayacak olan diğer önemli isimler arasında Andrea del Sarto ve Franciabigio da vardı.
Text 3,s9,Leonardo's second sojourn in Florence would last three years.,Leonardo'nun ikinci Floransa dönemi sadece üç yıl sürecekti.,Leonardo’nun Floransa’daki ikinci konaklaması üç yıl sürecekti. ,Leonardo'nun Floransa'daki ikinci oturumu üç yıl sürdü.,Leonardo'nun Floransa'daki ikinci ikameti üç yıl sürecekti.,Leonardo'nun Floransa'daki ikinci misafirliği üç yıl sürecekti.